chapt_title	data_level	url	img_path
Introduction	1	http://hutchdatascience.org/Containers_for_Scientists/01-intro.html	resources/chapt_screen_images/01-intro.png
Why Containers?	2	http://hutchdatascience.org/Containers_for_Scientists/02-why-containers.html	resources/chapt_screen_images/02-why-containers.png
Using Containers	3	http://hutchdatascience.org/Containers_for_Scientists/03-using-containers.html	resources/chapt_screen_images/03-using-containers.png
Using Volumes	4	http://hutchdatascience.org/Containers_for_Scientists/04-using-volumes.html	resources/chapt_screen_images/04-using-volumes.png
Modifying Containers	5	http://hutchdatascience.org/Containers_for_Scientists/05-modifying-containers.html	resources/chapt_screen_images/05-modifying-containers.png
Writing Dockerfiles	6	http://hutchdatascience.org/Containers_for_Scientists/06-writing-dockerfiles.html	resources/chapt_screen_images/06-writing-dockerfiles.png
Best practices for sharing images	7	http://hutchdatascience.org/Containers_for_Scientists/07-sharing-images.html	resources/chapt_screen_images/07-sharing-images.png
Cleaning Up	8	http://hutchdatascience.org/Containers_for_Scientists/08-cleaning-up.html	resources/chapt_screen_images/08-cleaning-up.png
Troubleshooting Tips	9	http://hutchdatascience.org/Containers_for_Scientists/09-troubleshooting.html	resources/chapt_screen_images/09-troubleshooting.png
Using Containers as your Development Space	10	http://hutchdatascience.org/Containers_for_Scientists/10-IDE-from-containers.html	resources/chapt_screen_images/10-IDE-from-containers.png
Advanced Container Techniques	11	http://hutchdatascience.org/Containers_for_Scientists/11-advanced-techniques.html	resources/chapt_screen_images/11-advanced-techniques.png
References	12	http://hutchdatascience.org/Containers_for_Scientists/References.html	resources/chapt_screen_images/References.png
